feature,coef,abs_coef
ContractRenewal,-2.347443510237653,2.347443510237653
CustServCalls,1.4752084190119763,1.4752084190119763
DataPlan,-1.060375734136328,1.060375734136328
HighCalls,0.7818592545662656,0.7818592545662656
Renewal_DataPlan,-0.4255738388853684,0.4255738388853684
DataUsage,0.3015406569552581,0.3015406569552581
Renewal_Calls,0.2970152306281248,0.2970152306281248
OverageFee,0.154910246348679,0.154910246348679
ChargePerMin,0.11389805098827764,0.11389805098827764
RoamMins,0.04303821579086543,0.04303821579086543
NewCustomer,0.039562861735654924,0.039562861735654924
DayMins,0.030725343832530734,0.030725343832530734
MonthlyCharge,-0.013522208382262826,0.013522208382262826
Calls_DayMins,-0.008075091032479805,0.008075091032479805
DayCalls,0.0017523537727188326,0.0017523537727188326
AccountWeeks,0.0011377494355308989,0.0011377494355308989
